,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
420259,1099571541425,Chicken Gnome | Gold Plated,vryu4.wam,2.cxe.wam,3yfqw.wam,True,2021-10-26,4.63,https://ipfs.atomichub.io/ipfs/Qmc3qMjaSceZYK11dkPAiM9QBJ7XEHaJ6jXC5YCeXkoJj5,gnomeseries1,hhvb2.wam,0.08
420319,1099567271752,Digital Eyes,izjb4.wam,.iaeo.wam,izjb4.wam,True,2021-11-10,0.5,https://ipfs.atomichub.io/ipfs/QmQqHRbJBvVUfV6m959x4k1FmhvZj2BH41HDS3y1CXLvTw,alilcreation,hjsb.wam,0.05
420333,1099562423804,Jerry Greenster,sikym.wam,.iaeo.wam,sikym.wam,True,2021-11-12,0.55,https://ipfs.atomichub.io/ipfs/QmbyDazU4n6ftLutVFwb18EWfc2LJQFg8MkgD6G3TCN29T,kingsburynft,423b2.wam,0.05
420425,1099560632154,#6 - In the Snow - Bucky the Beaver,.f4uc.wam,.czvs.wam,.f4uc.wam,True,2021-10-25,0.22,https://ipfs.atomichub.io/ipfs/QmbX5hMkZB1MZMfW2tebMQ1JfRE3KqC93DW6yBRrmoTHLe,pixellabs123,svnr4.wam,0.1
420490,1099544599848,Paulie & Crypto Moonboy Reuinted,xamgw.wam,svz5c.wam,xamgw.wam,True,2021-10-25,0.31,https://ipfs.atomichub.io/ipfs/QmVwEB7BWg4Ut5XQRYxiXq4jiZ3XovSWcnckT6J9voUq4a,pixellabs123,svnr4.wam,0.1
420513,1099562592633,Samurai Bunny,ertymuio5gtr,svz5c.wam,abrqw.wam,True,2021-11-14,0.28,https://ipfs.atomichub.io/ipfs/QmYXo75hHqb9yCN8atjXL66sSegZ9F2A9nitUrtKkLeV3n,blockbunnies,blockbunnies,0.09
420634,1099563080749,Clown #030,3cgwo.wam,nfwue.wam,3cgwo.wam,True,2021-10-25,9.39,https://ipfs.atomichub.io/ipfs/QmcF8YTKdLXcrAz8ibgFHsqMFwxj39hvZ7v4gyu2eNUeWm,olivrhassell,olivrhassell,0.1
420636,1099557577589,Altered Aubrey Tomb,4vyr.wam,4ourq.wam,4vyr.wam,True,2021-10-25,1.33,https://ipfs.atomichub.io/ipfs/QmdgQJv63sPUrWqiQirosLutoQDiGpGZxjsX9cKYZEciNM,monsters.r2,monsters.r2,0.08
420670,1099534318738,Up Chuck,rvfr2.wam,lzcu4.wam,rvfr2.wam,False,2021-10-28,7.72,https://ipfs.atomichub.io/ipfs/QmSRti2HK95NXWYG3t3he7UK7hkgw8w9TdqPc6hi5euV1p/base/3a.jpg,gpk.topps,gpk.topps,0.06
420858,1099557502894,Telepathic Tyler Tomb,k5ab.wam,4ourq.wam,k5ab.wam,True,2021-11-04,0.92,https://ipfs.atomichub.io/ipfs/QmRqom3motzP2AUfjWCk5YBfUQSofJAQY67mrS5sDdwzc8,monsters.r2,monsters.r2,0.08
