,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
322921,1099515023700,Krownlandia Star Charts Rat Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmP6FpDFnkfgCCUdf3CVv2W9rMNy4mw8iZWxRujc7VtyWi,krstarcharts,rpzay.wam,0.05
322926,1099515023978,Krownlandia Star Charts Cat Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmYL4dNb3mVirNokJCHapU3QGaPmGN7F4NK3GsMXDN51xh,krstarcharts,rpzay.wam,0.05
322928,1099515023995,Krownlandia Star Charts Deer Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmZhiXQjJE5txBzgpyLEquCafXdCAYx8Y9Jp2XHGo7LWkJ,krstarcharts,rpzay.wam,0.05
322931,1099515024291,Krownlandia Star Charts Dog Card,jbhqu.wam,rpzay.wam,jbhqu.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmTWG3z8WoPcXUfJhExfN3mSUGvp7F6w7qJrGAVeSuamhf,krstarcharts,rpzay.wam,0.05
322932,1099515024314,Krownlandia Star Charts Elephant Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmVR18o4ka7ZavsfAoyo3RuxT3jdKR1GNhG17MgJcC9a2Q,krstarcharts,rpzay.wam,0.05
322934,1099515024557,Krownlandia Star Charts Fox Card,krown,rpzay.wam,krown,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/Qma5HvACesvWGoS9ja6HrNp8ujjcbLqsAyj26y7Cp39V1s,krstarcharts,rpzay.wam,0.05
322936,1099515024597,Krownlandia Star Charts Frog Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmfCAKqMgvt1Cd9vYyU2edZHijZ71we4yi6g73PmZiYgsV,krstarcharts,rpzay.wam,0.05
322939,1099515024696,Krownlandia Star Charts Giraffe Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmTGZe8tZfC4YyyY4JmPHuvmSPbGEQD7MrpLhXHMVFuCoz,krstarcharts,rpzay.wam,0.05
322940,1099515025333,Krownlandia Star Charts Hamster Card,jbhqu.wam,rpzay.wam,jbhqu.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmVVBQZeAK1C9M4RGCokMHYizjaqfG7MmFs4RYbZk2AFaM,krstarcharts,rpzay.wam,0.05
322941,1099515025370,Krownlandia Star Charts Hippopotamus Card,jbhqu.wam,rpzay.wam,jbhqu.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmVv8oG2x5mZ8VG9H16aHg2hBMTb4cYAPKhLPTbKxopYH7,krstarcharts,rpzay.wam,0.05
322943,1099515025392,Krownlandia Star Charts Kibble Card,ee1qm.wam,rpzay.wam,ee1qm.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmTFxyZQgChoS97A5N949qUZsdp4PtsER1bQYYewha1LnP,krstarcharts,rpzay.wam,0.05
322951,1099515025919,Krownlandia Star Charts Penguin Card,dphillippi33,rpzay.wam,dphillippi33,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmSYDkLLaZPx1f4UdprtTA1UzoxGk7C4K11iK1cE69qPGi,krstarcharts,rpzay.wam,0.05
322974,1099515050043,Lava Hurd,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,22.7,https://ipfs.atomichub.io/ipfs/QmRRC3qjpdxCqw5ckVEdjnRtGjTkibv5RiYzbKwWVbaYtQ,anthon1hurdy,n5.aw.wam,0.07
322985,1099514863544,1st Edition Common Boom Box Rainbow,chaostheory1,ycqaw.wam,h3kqu.wam,True,2021-02-07,27.19,https://ipfs.atomichub.io/ipfs/Qme7ZmSPKNeA9PWyW7SMJrFpW4C1Thmic5gwCP4rsKjEQC/1CRS_T.png,kogsofficial,kogsofficial,0.06
323000,1099514863564,1st Edition Common Swords Rainbow,chaostheory1,ycqaw.wam,h3kqu.wam,True,2021-02-07,27.19,https://ipfs.atomichub.io/ipfs/Qme7ZmSPKNeA9PWyW7SMJrFpW4C1Thmic5gwCP4rsKjEQC/1CRS_T.png,kogsofficial,kogsofficial,0.06
323018,1099515049722,Trinity,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,15.89,https://ipfs.atomichub.io/ipfs/QmNiwcfXn3nn8P2eqFyXuyJ7vLwe2oeDF1fKRfCJmfWeDu,anthon1hurdy,n5.aw.wam,0.07
323065,1099515049753,Turbulence ,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,15.89,https://ipfs.atomichub.io/ipfs/Qma4HNB24HCYTNWJmWe45zUjuP5tud55MAMrRZtUMEDdCM,anthon1hurdy,n5.aw.wam,0.07
323140,1099515049451,Skull Hurdy,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,15.89,https://ipfs.atomichub.io/ipfs/QmP3soa1LFAi9XY7y1dx6ur1EcjHnmfQsvbjtgQMCmk7yr,anthon1hurdy,n5.aw.wam,0.07
323144,1099515049466,Skull Bubble,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,15.89,https://ipfs.atomichub.io/ipfs/QmT4rigsqLVwwHNfe7BGW9yfHQcntiLgQMnE7pcPKQWqXs,anthon1hurdy,n5.aw.wam,0.07
323162,1099515049495,Simon,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,13.62,https://ipfs.atomichub.io/ipfs/QmWTGLwG2MJjoVnuwqer8wrnZ6578btbnAQt5P4T79tk6D,anthon1hurdy,n5.aw.wam,0.07
323176,1099515049514,Skuller,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,13.62,https://ipfs.atomichub.io/ipfs/QmRzVSY3K8EAsMGxHjUtj8282b8M3PJHfEQkWEu6RdaAQm,anthon1hurdy,n5.aw.wam,0.07
323197,1099515049324,Pill Jhon,he5aw.wam,n5.aw.wam,he5aw.wam,True,2021-02-07,11.35,https://ipfs.atomichub.io/ipfs/QmUF4GYVevHD9U9DFSmzZuVqx2MDVjkNBSDjnSfw3cfGcE,anthon1hurdy,n5.aw.wam,0.07
323215,1099514537975,2020.01.23.V1,3nkqw.wam,2gnqw.wam,3nkqw.wam,True,2021-02-07,0.68,https://ipfs.atomichub.io/ipfs/QmV4KttJkWbHzJLe4gv2SS5ak61dCW7Z1VPhticUwEzSha,fundotxcutie,x4iqw.wam,0.15
323356,1099513828435,Captain Jack Sparrow,3d3qy.wam,jdcaw.wam,3d3qy.wam,True,2021-02-07,85.79,https://ipfs.atomichub.io/ipfs/QmUfffCRENhoQmFJFKoR6qZGhYhriGdqKUzE8TSAhXEZy5,drawingsforu,jdcaw.wam,0.15
323396,1099514782230,Justin Bieber - Pencil Sketch,.5naw.wam,jdcaw.wam,.5naw.wam,True,2021-02-07,74.9,https://ipfs.atomichub.io/ipfs/QmTKisnSDdSqYC2gus6q3bJpktDiN7srK7gjmtdArTRaR3,drawingsforu,jdcaw.wam,0.15
323697,1099515046458,No-Face,bacca,z.kqy.wam,bacca,True,2021-02-07,5.67,https://ipfs.atomichub.io/ipfs/QmYmq4cET35K9T5gEkjbPn3K1oHbWjaKh4y1wQXzij5GUC,pixelartsgif,z.kqy.wam,0.05
323804,1099514517972,Innua (Woodland Fury) EXT,j3lqw.wam,kazas.wam,j3lqw.wam,True,2021-04-28,22.77,https://ipfs.atomichub.io/ipfs/QmeLP9eTs8vJtGamW47AmwPLBUE6WtCLDiW7VYW2kEQF58,radaquesttcg,radaquesttcg,0.07
323900,1099515041807,Gel Pen Zombie,mintnineonly,byronjrempel,dnqqu.wam,True,2021-02-07,1.13,https://ipfs.atomichub.io/ipfs/QmbuZo67pzw9LJdt7nMGdmHj1bT1K5CfcZBCyfcUtYUhhK,byronartset1,byronjrempel,0.1
323975,1099515040431,"Come On, Dance ",.w1aw.wam,np1qw.wam,.w1aw.wam,True,2021-02-07,1.13,https://ipfs.atomichub.io/ipfs/QmR2uVFwpJazhEEN8qPfqqWvBZ1phcm32nydXqsieNDXvR,gifartonwax1,np1qw.wam,0.05
323983,1099515044425,Dizzy,xdyqw.wam,np1qw.wam,xdyqw.wam,True,2021-02-14,1.65,https://ipfs.atomichub.io/ipfs/QmaRz9rhPQFtAugRFojSf4wBoCna2DrzwNxDpWPKywGy1c,gifartonwax1,np1qw.wam,0.05
324230,1099512705663,WaxD,effektivitet,g5pqy.wam,abtqu.wam,True,2021-02-19,0.24,https://ipfs.atomichub.io/ipfs/QmVMxAtkXgKDKmrUr4F7CL664VBp9pd5VRkq1rWVCmUcKZ,waxpackfiend,v1yqu.wam,0.08
324231,1099513030652,Ninja Cookies,25aau.wam,g5pqy.wam,25aau.wam,True,2021-02-07,0.04,https://ipfs.atomichub.io/ipfs/QmbR22LDTLBCmGebabUS1gdtQWmWrwKjAhVb6nmdHNMiFW,sometimesnft,s.3qw.wam,0.07
324236,1099513623002,Merry Christmas ,jh5aw.wam,g5pqy.wam,jh5aw.wam,True,2021-02-07,0.18,https://ipfs.atomichub.io/ipfs/QmWuQSdaA4PW2KaiLdA44ftDBJNZtMXAZZNf4mo79AbySr,2cryptokingg,dd1qw.wam,0.08
324239,1099514112181,peekAhPeekABoo.v1,fnqr.wam,g5pqy.wam,fnqr.wam,True,2021-03-23,0.7,https://ipfs.atomichub.io/ipfs/QmNZXDfkvQtDUbhknrPzNHhrLAG7ifuwjPUnaRyrhfGzRw,fundotxcutie,x4iqw.wam,0.15
324240,1099512979910,Pepemint RADA - AR,rdlro.wam,g5pqy.wam,5fnay.wam,True,2021-03-04,0.54,https://ipfs.atomichub.io/ipfs/QmfPJ3pEBt9ALc31gfcUUtACz6xGVvSpck6RCGnRdN5g5g,kaleidoscope,jkdqw.wam,0.05
324305,1099514764201,cannoneer,t4sqw.wam,g5pqy.wam,t4sqw.wam,True,2021-03-10,3.49,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/Heroes/cannoneer_Epic_125_20_25.png,darkcountryh,darkcountryh,0.05
324312,1099515040202,Walk ,xdyqw.wam,np1qw.wam,xdyqw.wam,True,2021-02-07,1.13,https://ipfs.atomichub.io/ipfs/QmXkHe4DcGhejaf13HNuK7p2DTgpwL6CKXhjo21jh9U5NY,gifartonwax1,np1qw.wam,0.05
324395,1099512546210,Glitch Card,hzeau.wam,tksaw.wam,hzeau.wam,True,2021-02-07,385.83,https://ipfs.atomichub.io/ipfs/QmZT9sNPNSH5BnNApnUTgSXk4YHtg2FJfqf6p4md9CcLgK,bitcoinorign,btcorigins21,0.1
324702,1099514573250,Masked Monsters ATTACK The WAX Museum - King Kong,e3yqy.wam,wgiaw.wam,e3yqy.wam,True,2021-03-07,2.87,https://ipfs.atomichub.io/ipfs/QmXUenKPJnRPS6daaZ9KsrB91eVWuXY17uFrH65t4piQum,monsterattac,wgiaw.wam,0.15
324706,1099514582680,Masked Monsters Attack The Wax Museum MOTION CARD T-Rex,olyaw.wam,wgiaw.wam,olyaw.wam,True,2021-02-11,10.22,https://ipfs.atomichub.io/ipfs/QmW5XM9K2zjb4nxdv9okzb8BJhE9NmnZvTw8XRGjVWxwwN,monsterattac,wgiaw.wam,0.15
324711,1099514582696,Masked Monsters Attack The Wax Museum MOTION CARD King Kong,olyaw.wam,wgiaw.wam,olyaw.wam,True,2021-02-11,10.22,https://ipfs.atomichub.io/ipfs/QmSsqQsFvZAuhkvZdj3ZXAsnkNjs8XnPSUHQJTLDCvL3Fq,monsterattac,wgiaw.wam,0.15
324715,1099512980767,#5 Dangerous Dungeons,yfcqu.wam,5t2qw.wam,yfcqu.wam,True,2021-02-08,2.2,https://ipfs.atomichub.io/ipfs/QmY9SU1TYtZTCWcKqhHyK9E8RHp35mHMmSeH2D6FUZmfM3,bravebrowser,txyaw.wam,0.05
324716,1099514060539,Masked Monsters Deep Space Bedbump Sparkle,e3yqy.wam,wgiaw.wam,e3yqy.wam,True,2021-03-07,5.74,https://ipfs.atomichub.io/ipfs/QmQ2ZZHnkSeYNpPpsoura7fyhsds6LCniTKzJt1NVoYEcm,monsterattac,wgiaw.wam,0.15
324801,1099513327653,N.A.A.N. Spece Anon,pkrqy.wam,so3aw.wam,pkrqy.wam,True,2021-02-24,110.04,https://ipfs.atomichub.io/ipfs/QmcfdANFknuV4PDHSZXcFLNXy7oxtwZW1yGumPpnJioQmh,newageartnow,oz4aw.wam,0.06
324826,1099515037178,Taking Family Higher,x.gb.wam,joechiappett,x.gb.wam,False,2021-04-03,185.36,https://ipfs.atomichub.io/ipfs/QmdZ4pD5qZ5M11px4DcrfN11MBzLN4LSxF6xj52myoAztt,joecsketches,joechiappett,0.05
324862,1099511901519,He Leads Us Sticker,rd3aw.wam,qnzqu.wam,rd3aw.wam,True,2021-02-07,0.05,https://ipfs.atomichub.io/ipfs/QmYcVb2XQUtAy7yyEnivgpVzpz2VAH1gcdoeDFCGxhmiaT,dopestickers,dopestickers,0.08
325391,1099515034261,Woman of the Garden,x.gb.wam,joechiappett,x.gb.wam,True,2021-04-03,185.36,https://ipfs.atomichub.io/ipfs/QmUqRhgDQTUPUoi8dEn3kErNuHnBaLrBGrpk92DM4btYme,joecsketches,joechiappett,0.05
325394,1099515014353,Krownlandia Star Charts 10 of Spades Card,2u3r2.wam,bckau.wam,bq5qw.wam,True,2021-02-10,1.46,https://ipfs.atomichub.io/ipfs/QmazZg1ojSN2eLrnUmPDh2fGz7WKa6DYNt1dp9yMjeaogE,krstarcharts,rpzay.wam,0.05
325408,1099515033459,Day Job Demon,waxsuperhero,he5aw.wam,waxsuperhero,True,2021-02-07,22.65,https://ipfs.atomichub.io/ipfs/QmTzjTmo9dBoJThbAfEEiZJSqhiUR1RLQjiBd5kSMpcswr,byronartset1,byronjrempel,0.1
325458,1099515033438,Forever Server,he5aw.wam,byronjrempel,he5aw.wam,True,2021-02-07,1.13,https://ipfs.atomichub.io/ipfs/QmWcuqg39CDoBAwrZGYzw3EP6k19Sg8MdU8RfpZnDauupu,byronartset1,byronjrempel,0.1
325503,1099511991808,Swinies,3mpqq.wam,soday.wam,3mpqq.wam,True,2021-02-17,1.3,https://ipfs.atomichub.io/ipfs/QmcXZd1aMEi4QAXE4Cdm5h5WRRQMHBizKU8x2DHaoo8WvL,twobontanica,cswaw.wam,0.09
325555,1099514904359,Woman Happily Thinking,x.gb.wam,joechiappett,x.gb.wam,True,2021-04-03,30.58,https://ipfs.atomichub.io/ipfs/QmWX3oGoPgNmZncnYq2Sq2BwNY2ZzpK3nhyRwDNMMnNnXm,joecsketches,joechiappett,0.05
325583,1099514981287,Cold Night,mint1scammed,z.kqy.wam,fvfqu.wam,True,2021-02-07,7.94,https://ipfs.atomichub.io/ipfs/QmPKGm5daT7hUzmHf7uUBg7gmsrmKPe38thMY7rgdWcYvZ,pixelartsgif,z.kqy.wam,0.05
325785,1099514340723,P43 - VanCity Outbreak EP2,ytoqw.wam,blopsie.za,ilaaw.wam,True,2021-02-07,11.35,https://ipfs.atomichub.io/ipfs/QmUHMJA2WBMpLNbrzy1WbMJGydGpsJvJWYXiLUzHHXvJFc,vancitycomic,vancity.gems,0.06
325786,1099514336470,P12 - VanCity Outbreak EP2,ytoqw.wam,blopsie.za,ilaaw.wam,True,2021-02-07,11.35,https://ipfs.atomichub.io/ipfs/QmVMwLZ2iDB2xpMHGCMGg23oz1fJDZ6ztNaowpNRXWeTa9,vancitycomic,vancity.gems,0.06
325825,1099515000384,1st Edition Common Brazil Rainbow,kfwau.wam,3ktaw.wam,kfwau.wam,True,2021-02-07,24.97,https://ipfs.atomichub.io/ipfs/Qme7ZmSPKNeA9PWyW7SMJrFpW4C1Thmic5gwCP4rsKjEQC/1CRS_T.png,kogsofficial,kogsofficial,0.06
325828,1099515000375,1st Edition Common Mexico Rainbow,kfwau.wam,3ktaw.wam,kfwau.wam,True,2021-02-07,29.5,https://ipfs.atomichub.io/ipfs/Qme7ZmSPKNeA9PWyW7SMJrFpW4C1Thmic5gwCP4rsKjEQC/1CRS_T.png,kogsofficial,kogsofficial,0.06
325833,1099515000319,1st Edition Common Graffiti Rainbow,xauay.wam,3ktaw.wam,xauay.wam,True,2021-02-11,35.77,https://ipfs.atomichub.io/ipfs/Qme7ZmSPKNeA9PWyW7SMJrFpW4C1Thmic5gwCP4rsKjEQC/1CRS_T.png,kogsofficial,kogsofficial,0.06
